movies_name,movies_genre,movies_release_date,movies_run_time,movies_poster,movies_poster_url,movies_director,movies_starring_name
Isi & Ossi,Romantic comedy,14-Feb-20,"1 hour, 53 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Isi_%26_Ossi_poster.jpg/220px-Isi_%26_Ossi_poster.jpg,https://en.wikipedia.org/wiki/File:Isi_%26_Ossi_poster.jpg,N/A,Lisa Vicari
Isi & Ossi,Romantic comedy,14-Feb-20,"1 hour, 53 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Isi_%26_Ossi_poster.jpg/220px-Isi_%26_Ossi_poster.jpg,https://en.wikipedia.org/wiki/File:Isi_%26_Ossi_poster.jpg,N/A,Dennis Mojen
Isi & Ossi,Romantic comedy,14-Feb-20,"1 hour, 53 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Isi_%26_Ossi_poster.jpg/220px-Isi_%26_Ossi_poster.jpg,https://en.wikipedia.org/wiki/File:Isi_%26_Ossi_poster.jpg,N/A,Ernst Stötzner
Isi & Ossi,Romantic comedy,14-Feb-20,"1 hour, 53 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Isi_%26_Ossi_poster.jpg/220px-Isi_%26_Ossi_poster.jpg,https://en.wikipedia.org/wiki/File:Isi_%26_Ossi_poster.jpg,N/A,Zoë Straub
Isi & Ossi,Romantic comedy,14-Feb-20,"1 hour, 53 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Isi_%26_Ossi_poster.jpg/220px-Isi_%26_Ossi_poster.jpg,https://en.wikipedia.org/wiki/File:Isi_%26_Ossi_poster.jpg,N/A,Pegah Ferydoni
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Anne Hathaway as Elena McMahon
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Willem Dafoe as Dick McMahon
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Ben Affleck as Treat Morrison
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Rosie Perez as Alma Guerrero
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Edi Gathegi as Jones
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Mel Rodriguez as Barry Sedlow
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Onata Aprile as Cat McMahon
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Toby Jones as Paul Schuster
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Carlos Leal as Max Epperson aka Bob Weir
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Ben Chase as Max Berquist
The Last Thing He Wanted,Political thriller,21-Feb-20,"1 hour, 55 min.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/The_Last_Thing_He_Wanted.jpg/220px-The_Last_Thing_He_Wanted.jpg,https://en.wikipedia.org/wiki/File:The_Last_Thing_He_Wanted.jpg,Dee Rees,Julian Gamble as Secretary George Shultz
Yeh Ballet,Drama,21-Feb-20,"1 hour, 57 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Yeh_Ballet_%282020%29_Film_Poster.jpg/220px-Yeh_Ballet_%282020%29_Film_Poster.jpg,https://en.wikipedia.org/wiki/File:Yeh_Ballet_(2020)_Film_Poster.jpg,Sooni Taraporevala,Julian Sands
Yeh Ballet,Drama,21-Feb-20,"1 hour, 57 min.",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Yeh_Ballet_%282020%29_Film_Poster.jpg/220px-Yeh_Ballet_%282020%29_Film_Poster.jpg,https://en.wikipedia.org/wiki/File:Yeh_Ballet_(2020)_Film_Poster.jpg,Sooni Taraporevala,Jim Sarbh
