movie_name,movie_Genre,movie_poster,movie_poster_url,movie_director,movie_amount,movie_cast_members_name,movie_release_date,movie_runtime
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Scott Foley as Cody Favors,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Eliza Coupe as Vicky,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,J.T. Jackson as Benny,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Loretta Devine as Carol,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Brian McKnight as himself,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Cory Hardrict as Drill,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Dave Sheridan as Officer Mike Bentley,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Neil Brown Jr. as Officer Rick McBride,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Jwaundace Candece as Shaundra,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Jason Davis as Principal Melon,11-Aug-17,"1 hour, 36 min."
Naked,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Naked_%282017_film%29_poster.jpg/220px-Naked_%282017_film%29_poster.jpg,https://en.wikipedia.org/wiki/File:Naked_(2017_film)_poster.jpg,Michael Tiddes,N/A,Minka Kelly as Callie,11-Aug-17,"1 hour, 36 min."
Death Note,thriller,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/DeathNotePoster.jpg/220px-DeathNotePoster.jpg,https://en.wikipedia.org/wiki/File:DeathNotePoster.jpg,Adam Wingard,$40 million,"Nat Wolff as Light Turner / Kira:
A bright yet isolated high-school student who discovers the titular ""Death Note"" and uses it to kill criminals by writing their names and causes of death, in a bid to change the world into a utopia without crime, and thus, alongside Mia Sutton, becoming the world-famous serial killer known as ""Kira"", while being both praised and feared by law enforcement agencies and the worldwide media and public. In stark contrast to his manga counterpart, this version of Light lacks much of the original's ruthless, sadistic and sociopathic tendencies and is depicted in a more sympathetic and humanized light.",25-Aug-17,"1 hour, 40 min."
Death Note,thriller,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/DeathNotePoster.jpg/220px-DeathNotePoster.jpg,https://en.wikipedia.org/wiki/File:DeathNotePoster.jpg,Adam Wingard,$40 million,"Lakeith Stanfield as Lebensborn Atubia / L:
A nameless, highly-intelligent and esteemedâ€”but also socially eccentric and quirkyâ€”international consulting detective with a past shrouded in mystery and who is determined to capture ""Kira"" and end his reign of terror.",25-Aug-17,"1 hour, 40 min."
Death Note,thriller,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/DeathNotePoster.jpg/220px-DeathNotePoster.jpg,https://en.wikipedia.org/wiki/File:DeathNotePoster.jpg,Adam Wingard,$40 million,"Margaret Qualley as Mia Sutton / Kira:
Light's classmate and girlfriend, who assists him in his world-wide massacre of criminals as the god-like vigilante: ""Kira"", eventually seeking to kill those who seek to stop them and becoming dangerously obsessed with the book's power. In an interview with io9, Adam Wingard revealed that rather than being based on the manga character Misa Amane, Sutton is an original character based on the sociopathic qualities of Light Yagami.[2]",25-Aug-17,"1 hour, 40 min."
